Neighborhood,MEDIAN AGE,AGE 65 AND UP,AGE 50 TO 64,AGE 35 TO 49,AGE 19 TO 34,AGE 11 TO 18,AGE 10 OR LESS,FOREIGN BORN POPULATION,SQUARE MILES,FOUR-YEAR DEGREES,LESS THAN HIGH SCHOOL,HIGH SCHOOL DIPLOMA,SOME COLLEGE,BACHELOR'S DEGREE,MASTERS DEGREE OR HIGHER,DIVERSITY INDEX,ASIAN POPULATION,BLACK POPULATION,LATINO POPULATION,WHITE POPULATION,NON-WHITE POPULATION,SINGLE PARENTS,AVERAGE HOUSEHOLD SIZE,HOMEOWNERS,RENTERS,Median Income,"$20,000 or less","$20,000 to $40,000","$40,000 to $60,000","$60,000 to $125,000","$125,000 and up",NEVER MARRIED MALES,NEVER MARRIED FEMALES,MARRIED MALES,MARRIED FEMALES,WIDOWED MALES,WIDOWED FEMALES,DIVORCED MALES,DIVORCED FEMALES,VETERANS,POPULATION TOTAL,POPULATION PER SQMI
North El Monte,37,15.2%,15.7%,23.8%,20.4%,9.1%,15.9%,37.0%,0.4,24.3%,16.9%,24.5%,34.3%,18.0%,6.4%,0.678,26.1%,1.4%,30.7%,39.8%,60.2%,10.8%,2.8,64.6%,35.4%,"$56,577",18.1%,28.3%,16.8%,28.6%,5.9%,33.6%,21.2%,57.7%,55.5%,2.8%,12.4%,5.9%,10.9%,8.3%,"3,703","8,677"
Hancock Park,37,13.4%,16.4%,26.0%,24.6%,7.6%,12.1%,26.3%,1.5,56.2%,6.9%,11.0%,26.0%,34.9%,21.3%,0.473,13.1%,3.8%,8.5%,70.7%,29.3%,9.6%,2.1,47.3%,52.7%,"$85,277",15.3%,15.9%,14.8%,24.3%,25.9%,41.3%,34.4%,48.6%,45.9%,2.0%,7.2%,8.1%,12.5%,6.3%,"9,804","6,459"
Hollywood Hills,37,11.7%,15.8%,30.4%,32.0%,3.5%,6.5%,22.8%,7.0,54.8%,6.7%,11.1%,27.4%,34.8%,20.0%,0.433,6.7%,4.6%,9.4%,74.1%,25.9%,6.9%,1.8,43.5%,56.5%,"$69,277",17.5%,19.6%,13.5%,22.7%,17.5%,53.5%,38.1%,33.4%,41.6%,1.7%,7.2%,11.3%,13.1%,8.3%,"21,588","3,063"
Glendale,37,13.9%,15.1%,25.6%,21.7%,10.0%,13.7%,54.4%,30.6,32.1%,21.0%,19.2%,27.8%,20.8%,11.2%,0.635,16.3%,1.0%,19.6%,54.1%,45.9%,9.4%,2.7,38.4%,61.6%,"$57,112",24.0%,22.4%,18.1%,23.8%,9.2%,33.0%,25.0%,59.1%,53.3%,1.9%,11.7%,6.0%,10.0%,6.0%,"195,047","6,368"
Glendora,37,12.6%,16.0%,25.1%,18.0%,12.2%,16.1%,14.1%,19.5,25.7%,12.9%,21.7%,39.7%,16.6%,9.1%,0.495,6.5%,1.3%,22.1%,67.2%,32.8%,11.1%,2.8,73.5%,26.5%,"$81,336",12.5%,18.5%,18.3%,37.0%,12.4%,26.8%,21.1%,62.6%,57.7%,2.8%,9.8%,7.8%,11.3%,11.4%,"50,177","2,568"
Tujunga Canyons,37,11.4%,16.0%,27.6%,15.5%,13.9%,15.6%,9.4%,229.9,25.2%,13.2%,23.2%,38.4%,14.2%,11.0%,0.384,2.4%,3.4%,15.0%,76.9%,23.1%,10.5%,2.7,86.9%,13.1%,"$85,625",12.1%,16.6%,13.1%,28.6%,18.6%,26.7%,17.1%,56.7%,58.6%,3.2%,7.8%,13.4%,16.4%,15.7%,"2,474",11
Toluca Lake,37,10.1%,15.3%,31.5%,27.6%,5.7%,9.9%,17.7%,1.2,48.4%,6.7%,12.0%,32.9%,33.7%,14.8%,0.457,5.0%,5.3%,14.0%,71.9%,28.1%,9.7%,1.9,37.8%,62.2%,"$73,111",13.7%,18.7%,18.2%,28.1%,13.8%,44.0%,32.9%,44.0%,45.8%,1.2%,7.0%,10.8%,14.3%,11.1%,"7,782","6,393"
La Verne,37,12.5%,16.3%,24.7%,19.0%,13.5%,14.1%,14.4%,8.6,31.4%,11.3%,19.5%,37.7%,19.3%,12.1%,0.530,7.4%,2.8%,22.9%,64.0%,36.0%,9.7%,2.8,78.0%,22.0%,"$83,352",12.0%,18.0%,17.5%,37.4%,13.1%,29.0%,23.9%,62.7%,57.3%,1.4%,9.0%,6.9%,9.8%,11.6%,"33,117","3,863"
Lopez/Kagel Canyons,37,13.7%,17.4%,22.8%,15.2%,24.0%,6.9%,13.5%,3.6,29.1%,11.8%,18.9%,40.1%,16.0%,13.1%,0.543,2.4%,8.6%,26.7%,61.5%,38.5%,8.1%,2.1,73.9%,26.1%,"$61,398",15.6%,27.4%,16.5%,29.2%,6.8%,42.4%,20.4%,38.9%,48.2%,4.5%,8.1%,14.2%,23.3%,16.7%,697,195
Acton,37,8.0%,16.1%,31.2%,12.5%,15.9%,16.3%,7.1%,39.3,16.6%,15.4%,27.8%,40.2%,11.0%,5.7%,0.316,1.5%,0.8%,12.4%,81.7%,18.3%,8.8%,3.0,87.8%,12.2%,"$83,983",9.4%,16.7%,17.5%,30.9%,15.7%,23.3%,19.7%,63.1%,64.2%,3.2%,5.0%,10.3%,11.0%,15.6%,"6,522",166
Ramona,37,14.1%,15.9%,24.7%,18.5%,11.5%,15.4%,34.3%,3.6,33.0%,15.5%,19.3%,32.2%,22.6%,10.4%,0.702,35.0%,3.0%,26.3%,32.3%,67.7%,7.9%,3.1,74.3%,25.7%,"$86,325",11.8%,14.4%,17.0%,35.0%,16.1%,30.1%,21.7%,60.9%,56.7%,2.2%,13.0%,6.8%,8.6%,9.6%,"4,053","1,122"
Sunland,37,12.8%,15.3%,27.6%,18.6%,10.5%,15.3%,20.5%,4.0,22.0%,15.5%,24.9%,37.5%,16.1%,5.9%,0.526,7.1%,2.3%,21.5%,64.9%,35.1%,9.9%,2.6,68.5%,31.5%,"$68,720",16.1%,19.3%,21.9%,31.1%,8.3%,30.7%,23.4%,55.1%,52.7%,3.7%,10.0%,10.5%,13.9%,11.8%,"15,316","3,825"
South Pasadena,37,11.7%,15.3%,27.4%,21.9%,11.0%,12.7%,24.4%,3.4,56.1%,6.4%,10.4%,27.1%,31.1%,25.0%,0.651,25.6%,2.7%,16.1%,50.4%,49.6%,13.0%,2.3,44.1%,55.9%,"$76,229",13.4%,19.5%,18.2%,29.9%,15.6%,36.7%,29.6%,54.0%,48.1%,2.1%,8.6%,7.1%,13.7%,8.3%,"24,303","7,114"
Agoura Hills,37,6.3%,18.8%,29.9%,12.8%,16.0%,16.2%,13.5%,8.1,48.4%,5.2%,12.0%,34.4%,30.5%,17.9%,0.304,6.2%,0.8%,7.0%,82.8%,17.2%,9.9%,3.0,84.0%,16.0%,"$117,608",4.9%,10.4%,12.0%,41.4%,29.2%,29.6%,20.4%,63.7%,62.6%,1.0%,4.7%,5.7%,12.2%,9.9%,"20,324","2,495"
Altadena,37,12.1%,16.3%,27.3%,16.9%,11.2%,16.2%,18.7%,8.7,39.2%,15.1%,15.2%,30.5%,21.9%,17.3%,0.702,4.2%,31.0%,20.3%,39.6%,60.4%,12.5%,2.8,74.6%,25.4%,"$82,676",13.2%,19.2%,15.1%,33.8%,15.6%,32.9%,24.4%,57.8%,53.9%,2.1%,9.4%,7.1%,12.4%,9.8%,"42,680","4,900"
Sherman Oaks,37,13.5%,15.0%,26.7%,28.3%,6.0%,10.4%,26.2%,9.1,45.7%,8.0%,15.0%,31.3%,28.3%,17.4%,0.434,5.7%,4.4%,11.8%,73.8%,26.2%,13.4%,2.0,41.1%,58.9%,"$69,651",15.8%,20.8%,18.2%,27.3%,13.6%,39.9%,31.0%,46.9%,43.9%,2.2%,9.6%,11.0%,15.5%,8.3%,"61,166","6,687"
Playa Vista,37,15.7%,14.6%,25.7%,24.5%,8.8%,10.7%,31.1%,1.3,26.5%,25.7%,21.9%,25.8%,18.2%,8.3%,0.722,21.2%,4.7%,34.8%,32.4%,67.6%,5.5%,2.4,54.8%,45.2%,"$68,597",22.0%,15.8%,22.1%,30.4%,8.2%,31.1%,27.0%,52.4%,52.1%,5.2%,10.8%,11.4%,10.1%,11.0%,"2,416","1,859"
Carthay,37,14.2%,14.1%,27.6%,27.9%,6.5%,9.8%,25.1%,0.5,53.2%,10.6%,11.4%,24.8%,34.2%,19.1%,0.615,8.5%,12.8%,15.9%,57.8%,42.2%,13.6%,2.1,35.3%,64.7%,"$71,398",20.2%,18.2%,16.6%,27.2%,15.6%,42.4%,34.8%,48.8%,37.4%,1.2%,15.8%,7.6%,12.0%,4.1%,"4,866","9,642"
North Whittier,37,10.0%,19.3%,25.0%,19.5%,10.8%,15.5%,25.7%,5.5,31.8%,17.1%,17.0%,34.1%,19.9%,11.9%,0.588,15.6%,0.8%,57.4%,24.1%,75.9%,9.0%,3.0,85.1%,14.9%,"$93,841",6.7%,17.3%,17.7%,39.0%,17.1%,29.0%,27.8%,62.3%,57.5%,2.1%,7.0%,6.7%,7.7%,10.0%,"4,351",797
Chinatown,37,19.9%,14.3%,20.2%,22.1%,9.1%,14.3%,72.4%,0.9,8.3%,60.6%,15.6%,15.5%,6.7%,1.7%,0.445,70.6%,1.8%,23.5%,2.5%,97.5%,9.6%,2.8,9.0%,91.0%,"$22,754",53.6%,24.9%,8.7%,7.4%,1.0%,34.2%,27.5%,59.0%,53.3%,2.5%,14.9%,4.4%,4.2%,1.3%,"9,610","10,568"
San Dimas,37,12.0%,17.4%,25.0%,18.4%,12.4%,14.7%,15.4%,15.6,28.4%,12.7%,17.9%,41.0%,19.2%,9.2%,0.565,9.0%,2.7%,23.5%,60.8%,39.2%,10.4%,2.8,73.6%,26.4%,"$84,953",10.8%,16.4%,18.6%,37.8%,13.3%,27.8%,22.5%,60.8%,55.1%,2.3%,10.4%,9.0%,12.0%,12.5%,"35,064","2,244"
Manhattan Beach,37,10.2%,17.3%,27.9%,21.5%,8.1%,14.9%,9.1%,4.0,67.6%,3.2%,8.1%,21.1%,39.0%,28.6%,0.262,6.2%,0.5%,5.1%,85.5%,14.5%,6.7%,2.3,64.9%,35.1%,"$136,481",6.2%,8.4%,12.1%,32.4%,36.9%,34.6%,26.6%,55.7%,57.4%,2.0%,6.1%,7.7%,9.8%,10.2%,"34,039","8,573"
Granada Hills,37,12.6%,16.8%,25.3%,20.1%,11.1%,14.2%,29.2%,15.1,32.7%,13.0%,21.3%,33.0%,22.3%,10.4%,0.620,16.3%,3.4%,20.6%,55.5%,44.5%,9.4%,2.9,73.6%,26.4%,"$83,911",11.6%,17.4%,17.7%,36.7%,14.3%,31.0%,22.2%,60.4%,58.5%,1.9%,9.1%,6.7%,10.2%,10.5%,"50,535","3,344"
Green Valley,37,8.7%,16.4%,29.7%,14.7%,14.2%,16.4%,12.7%,2.6,17.1%,10.7%,28.5%,43.7%,9.7%,7.4%,0.420,3.3%,5.5%,12.4%,74.8%,25.2%,7.1%,2.6,86.3%,13.7%,"$78,712",9.9%,12.7%,18.5%,35.8%,3.4%,26.1%,20.1%,55.7%,65.0%,2.2%,7.9%,16.0%,6.9%,19.5%,754,290
Valley Village,36,12.7%,14.2%,26.5%,28.2%,6.8%,11.5%,28.9%,2.1,36.5%,13.1%,15.9%,34.5%,25.8%,10.7%,0.512,4.4%,5.5%,18.9%,66.7%,33.3%,16.2%,2.0,31.3%,68.7%,"$55,470",20.0%,27.3%,18.5%,22.6%,8.7%,41.4%,32.6%,44.3%,41.9%,2.1%,9.6%,12.1%,15.9%,7.2%,"24,190","11,600"
Walnut,36,7.2%,17.3%,28.4%,17.7%,15.5%,14.0%,46.2%,9.0,41.9%,11.2%,14.3%,32.6%,29.4%,12.5%,0.612,56.2%,3.8%,19.1%,18.5%,81.5%,5.9%,3.6,88.9%,11.1%,"$106,893",8.6%,10.5%,12.7%,46.7%,19.8%,32.0%,25.8%,64.0%,62.4%,1.4%,5.9%,2.6%,5.9%,8.0%,"30,004","3,329"
Baldwin Hills/Crenshaw,36,14.9%,15.2%,21.5%,21.0%,10.4%,17.1%,16.6%,2.9,24.1%,21.4%,22.0%,32.6%,15.4%,8.7%,0.457,4.7%,71.3%,17.3%,3.3%,96.7%,31.9%,2.3,30.9%,69.1%,"$37,948",35.2%,24.1%,13.4%,17.2%,4.8%,40.7%,37.4%,44.9%,33.6%,3.5%,13.5%,10.9%,15.5%,10.2%,"30,123","10,446"
Redondo Beach,36,8.2%,15.0%,31.0%,26.3%,7.3%,12.1%,17.0%,6.2,48.0%,7.5%,13.9%,30.7%,30.6%,17.4%,0.474,9.6%,2.2%,13.4%,70.4%,29.6%,10.8%,2.2,49.5%,50.5%,"$92,263",10.2%,14.6%,16.3%,38.0%,17.7%,38.4%,29.9%,48.9%,47.8%,1.1%,6.9%,11.6%,15.4%,9.7%,"63,261","10,129"
San Gabriel,36,13.4%,14.0%,24.0%,24.3%,9.2%,15.2%,52.6%,4.2,24.6%,30.8%,18.3%,26.3%,17.1%,7.5%,0.637,48.9%,1.0%,30.4%,17.4%,82.6%,12.5%,3.0,47.7%,52.3%,"$56,687",20.3%,26.1%,18.5%,27.3%,5.5%,33.7%,27.8%,58.9%,53.4%,2.1%,10.5%,5.3%,8.3%,5.5%,"39,306","9,433"
Gramercy Park,36,14.3%,16.8%,20.9%,18.5%,11.9%,17.7%,9.3%,1.1,14.9%,22.9%,21.5%,40.7%,10.9%,4.0%,0.241,0.4%,86.4%,11.5%,0.8%,99.2%,21.9%,2.8,70.4%,29.6%,"$57,983",19.7%,23.7%,19.5%,27.5%,2.5%,37.0%,30.5%,48.8%,40.1%,3.1%,13.1%,11.1%,16.3%,13.1%,"10,047","8,859"
Claremont,36,14.8%,16.8%,21.1%,24.3%,12.6%,10.5%,15.9%,16.7,52.3%,7.5%,14.3%,25.9%,24.2%,28.2%,0.545,11.7%,4.7%,15.5%,64.3%,35.7%,9.6%,2.5,67.9%,32.1%,"$89,804",13.5%,15.4%,14.4%,37.1%,17.5%,35.7%,29.5%,55.8%,51.7%,2.9%,8.2%,5.6%,10.6%,11.3%,"35,397","2,124"
Burbank,36,12.9%,14.1%,26.3%,23.3%,10.0%,13.3%,31.1%,17.3,29.0%,16.9%,21.3%,32.8%,20.6%,8.4%,0.581,9.2%,1.6%,24.8%,58.8%,41.2%,13.1%,2.4,43.6%,56.4%,"$64,416",18.8%,22.0%,18.3%,29.7%,8.3%,35.4%,26.3%,53.1%,49.9%,2.2%,11.2%,9.3%,12.6%,8.8%,"100,316","5,785"
East Pasadena,36,13.2%,16.6%,23.6%,20.4%,10.2%,16.1%,37.5%,1.3,39.8%,20.6%,12.7%,26.9%,25.6%,14.2%,0.692,19.7%,2.2%,35.8%,37.2%,62.8%,5.4%,2.9,71.2%,28.8%,"$73,690",15.2%,20.5%,16.4%,25.7%,17.7%,31.7%,22.6%,61.0%,60.7%,1.1%,9.1%,6.2%,7.6%,9.0%,"6,045","4,622"
El Segundo,36,9.5%,15.3%,29.6%,22.4%,9.0%,14.2%,12.4%,5.5,40.8%,7.2%,15.5%,36.5%,27.8%,13.0%,0.380,6.7%,1.1%,10.3%,77.6%,22.4%,13.0%,2.3,41.9%,58.1%,"$83,925",8.7%,17.5%,20.6%,38.9%,11.9%,34.0%,27.0%,49.9%,48.3%,2.4%,8.8%,13.8%,15.9%,11.4%,"15,970","2,925"
Diamond Bar,36,7.2%,17.7%,27.6%,19.0%,13.2%,15.2%,38.5%,15.1,42.4%,9.3%,16.9%,31.3%,29.0%,13.4%,0.687,42.5%,4.6%,18.6%,30.9%,69.1%,8.0%,3.2,82.8%,17.2%,"$92,414",9.2%,14.5%,17.7%,42.3%,15.0%,30.3%,23.2%,63.7%,61.6%,1.6%,6.3%,4.5%,8.8%,7.3%,"56,784","3,754"
Pico-Robertson,36,16.2%,13.0%,23.3%,29.3%,7.3%,10.8%,34.6%,1.0,48.3%,13.6%,13.1%,25.1%,28.8%,19.5%,0.442,5.7%,5.6%,7.3%,73.5%,26.5%,11.7%,2.1,26.9%,73.1%,"$63,356",21.8%,20.1%,17.8%,26.5%,10.7%,43.4%,33.3%,42.9%,40.9%,4.2%,12.6%,9.5%,13.3%,5.1%,"18,019","17,468"
East San Gabriel,36,12.6%,15.1%,25.1%,22.2%,10.9%,14.1%,45.1%,2.2,32.1%,19.9%,19.0%,29.0%,20.7%,11.4%,0.683,40.6%,1.6%,26.8%,28.2%,71.8%,11.3%,2.9,54.4%,45.6%,"$64,365",17.8%,23.7%,17.5%,30.3%,7.6%,31.8%,28.2%,59.2%,52.8%,2.0%,8.4%,7.0%,10.6%,7.5%,"22,171","10,157"
Tujunga,36,9.9%,14.6%,26.9%,21.7%,10.3%,16.6%,29.9%,10.0,22.4%,22.7%,22.4%,32.6%,15.1%,7.3%,0.557,6.6%,1.8%,26.1%,60.7%,39.3%,13.6%,2.7,55.0%,45.0%,"$58,001",19.9%,26.1%,19.3%,25.4%,6.2%,31.6%,22.2%,55.5%,56.4%,1.7%,9.2%,11.1%,12.1%,9.7%,"26,527","2,649"
Hacienda Heights,36,11.8%,17.3%,23.6%,20.4%,12.8%,14.0%,40.0%,11.9,30.8%,18.4%,21.8%,29.1%,20.8%,10.0%,0.674,36.1%,1.2%,38.1%,22.5%,77.5%,8.1%,3.2,79.5%,20.5%,"$80,762",12.8%,18.6%,17.7%,37.1%,11.4%,30.8%,26.1%,62.1%,57.3%,1.4%,8.6%,5.7%,8.1%,8.8%,"53,525","4,503"
Rancho Park,36,12.6%,16.1%,24.3%,27.7%,6.9%,12.3%,28.5%,0.6,49.3%,7.2%,12.8%,30.7%,30.7%,18.6%,0.598,18.2%,3.6%,16.2%,58.3%,41.7%,10.1%,2.2,54.4%,45.6%,"$69,724",18.7%,19.3%,16.5%,27.4%,15.0%,36.0%,33.4%,54.7%,44.4%,1.2%,9.9%,8.0%,12.2%,9.2%,"4,295","7,169"
Los Feliz,36,13.2%,14.0%,26.4%,30.9%,6.7%,8.7%,44.5%,2.6,42.7%,15.8%,16.6%,24.9%,27.9%,14.8%,0.610,13.5%,3.7%,18.7%,57.6%,42.4%,9.5%,2.0,24.5%,75.5%,"$50,793",26.3%,24.6%,15.3%,20.9%,9.2%,50.2%,37.2%,41.3%,43.2%,1.8%,10.1%,6.6%,9.5%,5.9%,"35,238","13,512"
Del Rey,35,11.9%,14.9%,23.2%,27.2%,9.7%,13.1%,37.9%,2.5,30.9%,27.5%,16.0%,25.6%,20.9%,10.0%,0.666,14.1%,4.4%,44.3%,34.0%,66.0%,13.4%,2.5,44.8%,55.2%,"$62,259",19.9%,23.1%,18.2%,26.0%,10.7%,42.9%,32.0%,47.1%,46.9%,2.4%,8.4%,7.6%,12.7%,8.4%,"28,010","11,420"
Rowland Heights,35,8.6%,16.7%,24.7%,22.1%,12.4%,15.5%,53.1%,13.2,34.2%,17.5%,21.4%,26.8%,23.3%,10.9%,0.632,51.7%,2.3%,27.4%,15.6%,84.4%,8.8%,3.4,66.8%,33.2%,"$72,638",16.7%,20.2%,16.6%,32.1%,11.8%,31.0%,25.2%,62.7%,59.5%,1.3%,7.1%,5.0%,8.2%,5.9%,"47,524","3,604"
Westchester,35,11.5%,14.2%,25.3%,27.0%,8.5%,13.5%,20.8%,10.8,42.3%,9.0%,15.3%,33.3%,26.5%,15.8%,0.660,9.6%,16.6%,16.5%,52.3%,47.7%,14.7%,2.3,51.8%,48.2%,"$77,473",13.9%,20.7%,15.8%,32.5%,13.8%,37.2%,31.5%,52.6%,48.9%,1.7%,7.7%,8.6%,11.9%,9.2%,"41,500","3,839"
La Mirada,35,13.5%,14.7%,23.0%,20.6%,13.0%,15.2%,22.7%,7.8,25.2%,15.5%,24.6%,34.7%,16.9%,8.3%,0.644,15.0%,1.7%,33.5%,46.9%,53.1%,6.6%,3.0,82.0%,18.0%,"$83,514",11.8%,17.6%,17.6%,41.4%,9.9%,29.7%,23.9%,62.2%,56.5%,2.0%,10.8%,6.1%,8.8%,11.5%,"46,782","5,966"
Lakewood,35,11.6%,13.7%,25.5%,20.2%,12.1%,16.9%,19.0%,9.5,20.7%,14.9%,24.4%,40.1%,15.5%,5.1%,0.649,13.8%,7.0%,22.9%,52.3%,47.7%,11.2%,2.9,72.0%,28.0%,"$78,764",13.4%,17.6%,19.6%,40.8%,6.8%,29.7%,22.5%,59.8%,56.2%,2.5%,10.5%,8.0%,10.8%,12.3%,"79,412","8,348"
Lake Balboa,35,11.0%,13.3%,26.7%,23.2%,9.7%,16.1%,31.8%,3.1,23.5%,21.2%,20.8%,34.5%,16.6%,7.0%,0.632,8.8%,3.5%,34.1%,49.0%,51.0%,13.6%,2.7,65.9%,34.1%,"$65,336",16.3%,22.3%,20.4%,31.1%,6.8%,33.3%,26.2%,54.0%,53.2%,2.5%,9.7%,10.2%,10.8%,10.1%,"24,238","7,754"
Unincorporated Catalina Island,35,2.7%,18.9%,29.2%,19.4%,13.6%,16.2%,31.2%,72.5,20.5%,29.6%,20.3%,29.6%,15.6%,4.9%,0.495,0.8%,0.0%,35.7%,61.4%,38.6%,14.7%,2.9,0.0%,100.0%,"$56,295",18.8%,23.1%,29.4%,20.6%,1.3%,31.5%,19.4%,46.9%,58.1%,6.3%,6.8%,15.4%,15.7%,10.0%,139,2
South San Gabriel,35,13.0%,14.9%,22.2%,22.8%,10.6%,16.5%,44.9%,1.4,18.3%,37.1%,22.1%,22.6%,13.3%,5.0%,0.590,41.0%,0.6%,48.4%,8.2%,91.8%,16.2%,3.4,67.2%,32.8%,"$64,827",18.5%,20.4%,21.1%,30.2%,5.9%,34.8%,27.3%,56.0%,53.5%,2.1%,9.2%,7.2%,10.0%,7.5%,"8,100","5,708"
Venice,35,8.6%,14.9%,27.7%,34.7%,5.5%,8.7%,22.3%,3.2,49.3%,13.1%,11.2%,26.4%,31.3%,17.9%,0.534,4.1%,5.4%,21.7%,64.2%,35.8%,13.6%,1.9,31.2%,68.8%,"$67,647",16.6%,21.1%,16.1%,24.4%,15.5%,51.3%,40.6%,35.9%,37.8%,1.5%,5.6%,11.3%,15.9%,7.4%,"37,705","11,891"
Eagle Rock,35,12.3%,14.6%,23.4%,25.1%,9.6%,15.0%,38.5%,4.3,30.4%,21.6%,17.7%,30.3%,21.9%,8.6%,0.690,23.9%,1.9%,40.3%,29.8%,70.2%,12.9%,2.8,56.1%,43.9%,"$67,253",17.2%,22.3%,17.9%,29.9%,9.3%,38.1%,30.4%,52.6%,49.6%,2.4%,10.0%,6.9%,10.1%,7.7%,"32,493","7,644"
East La Mirada,35,12.2%,14.4%,23.6%,21.2%,12.0%,16.6%,12.2%,1.1,14.9%,16.3%,30.7%,38.1%,11.5%,3.4%,0.561,3.7%,1.4%,38.0%,54.1%,45.9%,10.2%,2.8,64.8%,35.2%,"$69,930",15.8%,21.4%,20.4%,34.7%,6.5%,30.1%,24.0%,61.2%,54.7%,2.0%,8.8%,6.6%,12.4%,12.9%,"9,442","8,506"
Mar Vista,35,11.7%,14.4%,24.9%,29.2%,7.0%,12.8%,33.5%,2.9,42.3%,16.3%,14.7%,26.7%,26.4%,15.9%,0.634,12.8%,3.5%,29.1%,51.3%,48.7%,11.3%,2.3,39.4%,60.6%,"$62,611",18.5%,23.3%,18.0%,26.2%,11.7%,40.8%,32.1%,49.0%,46.6%,1.9%,8.8%,8.4%,12.5%,7.6%,"35,492","12,259"
Unincorporated Santa Monica Mountains,35,8.4%,17.0%,25.6%,25.1%,11.6%,12.3%,14.7%,89.3,56.4%,4.5%,10.7%,28.4%,30.7%,25.7%,0.309,5.8%,1.6%,5.9%,82.6%,17.4%,8.1%,2.5,75.2%,24.8%,"$132,997",7.3%,10.3%,10.7%,27.8%,35.5%,35.5%,40.0%,53.8%,46.6%,1.2%,4.7%,9.4%,8.8%,8.1%,"8,929",100
Lomita,35,11.2%,13.5%,26.1%,22.8%,8.1%,18.2%,19.7%,1.9,22.9%,19.8%,23.7%,33.6%,15.6%,7.2%,0.626,11.7%,4.1%,26.1%,53.7%,46.3%,18.0%,2.5,46.6%,53.4%,"$59,059",18.4%,25.1%,17.5%,28.7%,6.2%,30.7%,24.0%,55.6%,49.7%,2.0%,9.7%,11.7%,16.6%,10.3%,"19,984","10,424"
Littlerock,35,8.9%,15.6%,25.7%,16.2%,14.4%,19.1%,17.5%,1.8,9.8%,29.2%,24.9%,36.1%,6.5%,3.3%,0.592,0.8%,9.5%,34.6%,52.7%,47.3%,12.0%,3.2,78.6%,21.4%,"$60,781",19.8%,20.1%,15.1%,27.7%,4.7%,27.8%,21.2%,59.7%,64.3%,1.3%,7.1%,11.1%,7.5%,14.7%,"1,388",766
Quartz Hill,35,8.6%,14.8%,27.0%,17.4%,14.7%,17.5%,6.1%,3.8,20.7%,11.6%,25.2%,42.6%,14.2%,6.5%,0.430,2.2%,5.5%,15.1%,73.6%,26.4%,13.4%,2.9,77.5%,22.5%,"$77,498",17.6%,15.3%,16.1%,32.9%,12.0%,27.9%,19.6%,63.0%,62.1%,1.6%,6.5%,7.5%,11.9%,15.9%,"9,351","2,475"
Alhambra,35,13.2%,13.3%,23.6%,26.1%,10.1%,13.8%,50.8%,7.6,27.5%,27.0%,19.6%,25.9%,19.1%,8.4%,0.631,47.2%,1.4%,35.5%,13.8%,86.2%,12.7%,2.8,39.2%,60.8%,"$53,224",23.5%,25.7%,18.9%,24.0%,4.7%,35.3%,30.4%,55.9%,50.0%,2.2%,10.7%,6.6%,8.9%,5.0%,"85,961","11,275"
Silver Lake,35,10.7%,13.6%,27.0%,28.9%,7.7%,12.2%,41.1%,2.7,36.2%,24.8%,14.3%,24.7%,23.9%,12.3%,0.676,18.0%,3.2%,41.8%,34.0%,66.0%,15.5%,2.3,35.7%,64.3%,"$54,339",23.9%,23.5%,16.2%,22.0%,9.4%,52.6%,38.6%,38.6%,43.2%,2.0%,8.2%,6.8%,10.0%,5.6%,"30,972","11,266"
Unincorporated Santa Susana Mountains,34,6.0%,13.8%,29.8%,23.2%,10.0%,17.2%,27.7%,78.1,43.9%,9.4%,15.8%,30.9%,28.7%,15.2%,0.602,18.8%,2.7%,16.9%,57.6%,42.4%,8.3%,2.7,61.9%,38.1%,"$93,825",8.6%,12.8%,16.9%,36.6%,21.1%,25.7%,25.3%,62.4%,61.4%,1.9%,3.6%,10.0%,9.7%,8.9%,"4,525",58
Ridge Route,34,5.0%,12.4%,32.0%,19.7%,12.0%,18.9%,13.2%,292.7,20.0%,16.3%,22.2%,41.4%,15.3%,4.7%,0.462,5.2%,1.4%,20.0%,70.3%,29.7%,12.7%,2.9,79.1%,20.9%,"$92,822",11.3%,11.6%,17.8%,40.2%,16.6%,27.1%,17.5%,63.3%,67.3%,1.7%,3.9%,7.9%,11.4%,10.4%,"1,951",7
Pasadena,34,12.0%,14.0%,23.4%,26.6%,8.9%,15.0%,32.3%,25.1,41.5%,20.4%,13.4%,24.8%,23.6%,17.9%,0.706,10.0%,13.9%,33.3%,39.1%,60.9%,13.4%,2.5,46.0%,54.0%,"$62,825",20.7%,21.3%,16.2%,25.0%,12.5%,39.5%,30.9%,50.8%,48.8%,2.2%,9.5%,7.4%,10.8%,7.8%,"134,941","5,366"
Atwater Village,34,11.7%,15.2%,22.0%,26.3%,9.9%,14.9%,49.3%,1.8,22.6%,33.0%,16.0%,28.5%,17.2%,5.4%,0.645,19.7%,1.4%,51.3%,22.2%,77.8%,13.7%,2.7,40.4%,59.6%,"$53,872",20.1%,28.0%,21.4%,22.7%,3.4%,38.9%,33.7%,51.5%,48.5%,2.3%,8.4%,7.3%,9.5%,5.8%,"14,888","8,379"
